"Date","Wind10int"
2020-04-24,3.5947
2020-04-25,2.9883664
2020-04-26,1.6819965
2020-04-27,2.1507015
2020-04-28,2.6583395
2020-04-29,3.3044138
2020-04-30,4.2053623
2020-05-01,4.18433
2020-05-02,4.1212244
2020-05-03,2.7098396
2020-05-04,2.8441114
2020-05-05,3.236016
2020-05-06,2.994759
2020-05-07,2.302363
2020-05-08,1.8694719
2020-05-09,1.8454833
2020-05-10,2.5433972
2020-05-11,5.113765
2020-05-12,3.0799377
2020-05-13,2.2783055
2020-05-14,3.3043385
2020-05-15,3.389248
2020-05-16,2.9255385
2020-05-17,3.213488
2020-05-18,2.9175155
2020-05-19,2.958345
2020-05-20,2.0887265
2020-05-21,1.7590929
2020-05-22,3.1450534
2020-05-23,3.905981
2020-05-24,4.9564085
2020-05-25,4.232429
2020-05-26,2.08473
2020-05-27,2.3230782
2020-05-28,3.5962803
2020-05-29,2.8029697
2020-05-30,3.50609
2020-05-31,3.7112353
2020-06-01,3.190172
2020-06-02,2.0447633
2020-06-03,2.1301186
2020-06-04,3.0114806
2020-06-05,4.7110686
2020-06-06,4.3211594
2020-06-07,3.1677308
2020-06-08,1.8273543
2020-06-09,2.665784
2020-06-10,2.862835
2020-06-11,2.5958889
2020-06-12,3.239529
2020-06-13,2.924515
2020-06-14,3.503361
2020-06-15,2.629104
2020-06-16,1.5573695
2020-06-17,2.158336
2020-06-18,2.7119997
2020-06-19,2.9828892
2020-06-20,3.2783527
2020-06-21,2.5218048
2020-06-22,2.9416027
2020-06-23,2.3045168
2020-06-24,2.7973034
2020-06-25,3.0888758
2020-06-26,2.5514889
2020-06-27,2.7084513
2020-06-28,3.4101532
2020-06-29,3.4231615
2020-06-30,4.886506
2020-07-01,3.692312
2020-07-02,3.038433
2020-07-03,3.2834065
2020-07-04,4.64989
2020-07-05,5.672655
2020-07-06,5.516853
2020-07-07,3.3232226
2020-07-08,2.5872202
2020-07-09,2.874205
2020-07-10,3.8551004
2020-07-11,2.8288937
2020-07-12,2.551468
2020-07-13,1.9766501
2020-07-14,2.1386888
2020-07-15,2.1450908
2020-07-16,2.1126313
2020-07-17,1.961076
2020-07-18,1.451754
2020-07-19,1.7646158
2020-07-20,2.8034878
2020-07-21,2.8292809
2020-07-22,2.183156
2020-07-23,1.9280186
2020-07-24,3.1657
2020-07-25,2.4737294
2020-07-26,3.3384132
2020-07-27,2.6241918
2020-07-28,4.3643246
2020-07-29,3.6399024
2020-07-30,2.1800413
2020-07-31,1.957203
2020-08-01,2.5266738
2020-08-02,2.4682586
2020-08-03,2.5527554
2020-08-04,2.3728526
2020-08-05,2.497993
2020-08-06,2.3009975
2020-08-07,2.125844
2020-08-08,1.6848733
2020-08-09,2.098298
2020-08-10,2.5617905
2020-08-11,3.125697
2020-08-12,3.0018234
2020-08-13,2.5498602
2020-08-14,1.9085602
2020-08-15,1.6051171
2020-08-16,2.4378662
2020-08-17,2.178213
2020-08-18,2.2877278
2020-08-19,1.8133475
2020-08-20,2.6442647
2020-08-21,2.9879916
2020-08-22,3.6245344
2020-08-23,4.222116
2020-08-24,3.2899113
2020-08-25,3.2440557
2020-08-26,7.0386677
2020-08-27,3.5462751
2020-08-28,3.3451376
2020-08-29,2.8564847
2020-08-30,2.3733554
2020-08-31,2.4309404
2020-09-01,2.318878
2020-09-02,1.7848645
2020-09-03,3.184728
2020-09-04,3.2271316
2020-09-05,3.1617377
2020-09-06,2.6873517
2020-09-07,2.3443103
2020-09-08,3.1509044
2020-09-09,3.3082554
2020-09-10,2.3936822
2020-09-11,1.8360643
2020-09-12,2.8455977
2020-09-13,2.463265
2020-09-14,2.1150532
2020-09-15,1.6511343
2020-09-16,2.6067677
2020-09-17,3.8216434
2020-09-18,3.136847
2020-09-19,2.644137
2020-09-20,2.4287977
2020-09-21,1.6674688
2020-09-22,1.6683513
2020-09-23,2.755168
2020-09-24,4.091571
2020-09-25,3.726893
2020-09-26,4.2138166
2020-09-27,2.7265575
2020-09-28,2.110424
2020-09-29,2.2289083
2020-09-30,1.8707196
2020-10-01,2.971595
2020-10-02,4.267998
2020-10-03,4.4375916
2020-10-04,4.3762703
2020-10-05,4.0768538
2020-10-06,5.038885
2020-10-07,4.613093
2020-10-08,5.1573915
2020-10-09,3.1394312
2020-10-10,3.7956913
2020-10-11,2.9384546
2020-10-12,2.215105
2020-10-13,2.235159
2020-10-14,4.996775
2020-10-15,4.026361
2020-10-16,3.1401856
2020-10-17,1.9179344
2020-10-18,3.3190656
2020-10-19,2.4982917
2020-10-20,3.8543215
2020-10-21,4.5863748
2020-10-22,4.4342527
2020-10-23,3.0403316
2020-10-24,4.2793565
2020-10-25,4.251442
2020-10-26,3.457691
2020-10-27,4.7010117
2020-10-28,4.9029484
2020-10-29,5.1667933
2020-10-30,4.7703795
2020-10-31,3.1856923
2020-11-01,4.5215526
2020-11-02,5.751469
2020-11-03,3.7391243
2020-11-04,3.17668
2020-11-05,3.0015333
2020-11-06,2.3420484
2020-11-07,2.3042076
2020-11-08,1.899629
2020-11-09,2.1958294
2020-11-10,2.0618482
2020-11-11,1.922997
2020-11-12,3.3503344
2020-11-13,3.0788198
2020-11-14,3.053958
2020-11-15,4.7112584
2020-11-16,4.9220896
2020-11-17,4.2819014
2020-11-18,3.868719
2020-11-19,5.5516753
2020-11-20,3.1946468
2020-11-21,4.308712
2020-11-22,3.9771724
2020-11-23,3.3133929
2020-11-24,3.1754646
2020-11-25,2.9272518
2020-11-26,2.4561195
2020-11-27,1.6716441
2020-11-28,2.432256
2020-11-29,2.3084173
2020-11-30,2.7694602
2020-12-01,2.570147
2020-12-02,2.1895425
2020-12-03,4.0906906
2020-12-04,4.151624
2020-12-05,2.646877
2020-12-06,2.5003974
2020-12-07,3.2671635
2020-12-08,2.4224243
2020-12-09,2.1116166
2020-12-10,1.9182066
2020-12-11,3.6762488
2020-12-12,2.834273
2020-12-13,2.3453982
2020-12-14,3.7770557
2020-12-15,3.0900779
2020-12-16,2.6069505
2020-12-17,3.769736
2020-12-18,3.2381794
2020-12-19,3.850406
2020-12-20,3.1880891
2020-12-21,4.007372
2020-12-22,5.3912854
2020-12-23,3.350625
2020-12-24,4.5946445
2020-12-25,3.277732
2020-12-26,4.173945
2020-12-27,6.784766
2020-12-28,3.49564
2020-12-29,3.6890216
2020-12-30,3.738003
2020-12-31,3.1783242
2021-01-01,1.954089
2021-01-02,2.068975
