Gastag,Restlast[kWh]*,,
25.09.2020,513193400,,
26.09.2020,706028512,,
27.09.2020,755501577,,
28.09.2020,783214989,,
29.09.2020,796306091,,
30.09.2020,687149873,,
01.10.2020,702380581,,
02.10.2020,658035071,,
03.10.2020,688835093,,
04.10.2020,762401611,,
05.10.2020,862987522,,
06.10.2020,878034312,,
07.10.2020,901102389,,
08.10.2020,886103661,,
09.10.2020,838025219,,
10.10.2020,978073079,,
11.10.2020,1094436329,,
12.10.2020,1159202164,,
13.10.2020,1199025911,,
14.10.2020,1288432964,,
15.10.2020,1289308506,,
16.10.2020,1269455784,,
17.10.2020,1259083905,,
18.10.2020,1270831677,,
19.10.2020,1278370777,,
20.10.2020,1261171906,,
21.10.2020,1010533353,,
22.10.2020,815782200,,
23.10.2020,863005059,,
24.10.2020,908020503,,
25.10.2020,935694199,,
26.10.2020,1119821955,,
27.10.2020,1189018516,,
28.10.2020,1126073420,,
29.10.2020,1177480650,,
30.10.2020,1040724873,,
31.10.2020,934400242,,
