"Gasday","HGasSLPsyn","HGasSLPana","LGasSLPsyn","LGasSLPana","HGasRLMmT","LGasRLMmT","HGasRLMoT","LGasRLMoT","Status","Unit"
2022-04-13,518966376,146121216,112318776,53191104,1232730696,180560064,65897858,6108086,final,kWh
2022-04-14,442083048,123163944,101982024,38100912,1138714680,170418024,58188021,6649982,final,kWh
2022-04-15,506904816,118724856,123995736,33587616,990789072,151746720,65280650,3915359,final,kWh
2022-04-16,636382560,127584432,146807208,34190352,967345752,147437376,60492364,1035052,final,kWh
2022-04-17,718311168,145141680,154303320,40106376,921268848,134974440,51747938,987316,final,kWh
2022-04-18,705741408,149904912,145642080,39249312,990512232,141538032,52606503,1455616,final,kWh
2022-04-19,718079040,145427088,143517120,36977688,1203443832,186157464,57611478,3040341,final,kWh
2022-04-20,710714352,128653992,145943376,35112288,1234674216,191593656,62302543,3403198,final,kWh
2022-04-21,672583176,128566920,141871560,33204792,1200715248,189723240,64492165,7774063,final,kWh
2022-04-22,605091792,127612632,131631984,32673792,1074727416,179779464,63904749,5006467,final,kWh
2022-04-23,525523416,123656664,113527008,34053600,897003624,148533216,52932096,4066877,final,kWh
2022-04-24,597463872,125307576,124742520,34533576,958649640,154491000,55534482,4828902,final,kWh
2022-04-25,659051256,129541272,143173128,32655648,1305025440,197034384,67946774,7987453,final,kWh
2022-04-26,687361440,130917744,149285472,32572896,1342501344,199423200,63140864,8604471,final,kWh
2022-04-27,651253320,129272880,147021456,40277136,1291557744,195364440,59517061,4379992,final,kWh
2022-04-28,601511232,131236224,142453608,42708288,1189081200,195165792,59404296,1635186,final,kWh
2022-04-29,575754312,118016376,143628888,38380152,1135911840,184599024,54736573,3346914,final,kWh
2022-04-30,582864768,107803416,148310040,36234744,948142248,149439936,52153574,1027637,final,kWh
2022-05-01,581240664,107315376,144476352,37481304,924975000,139381488,53074356,2133307,final,kWh
2022-05-02,542745624,110927184,131947320,38183640,1145664768,176240904,53652509,1620366,final,kWh
2022-05-03,507371808,110929656,123469848,37246728,1212805368,177856872,50999336,1379566,final,kWh
2022-05-04,482532168,94962552,121753320,32139672,1234101264,179534568,50065908,3755669,final,kWh
2022-05-05,457469544,88825464,110212968,29997648,1210493448,176122272,48338343,2471383,final,kWh
2022-05-06,395656704,85194144,90777096,29127792,1138251408,165274104,48872245,2893237,final,kWh
2022-05-07,356530560,78681144,81139656,26043984,864750576,135379224,44302004,909303,final,kWh
2022-05-08,358680696,78537600,86413368,23467176,904206840,143088480,44307105,1423225,final,kWh
2022-05-09,306272040,73373040,71022408,21867048,1108380984,166042248,47221715,6039851,final,kWh
2022-05-10,235379064,67547784,52230552,21598176,1051605960,164051808,41561452,967000,final,kWh
2022-05-11,201213096,57228120,47674344,18165624,991500840,162881496,45791009,920264,final,kWh
2022-05-12,217427040,53617344,55534968,15154992,1036254816,165307440,45999959,1070608,final,kWh
2022-05-13,246224640,52971840,61389960,14334480,974305848,161760600,45458562,1094809,final,kWh
2022-05-14,244822440,53677488,58197072,15761688,839214600,132504888,40996490,1001031,final,kWh
2022-05-15,228698760,54940968,52704408,17317272,831572136,129763944,38339324,965825,final,kWh
2022-05-16,215441592,51729432,49203144,15784656,1039688352,164096208,44623597,1016845,final,kWh
2022-05-17,214929840,51585576,47979528,15185856,1115052576,165399792,41169694,994944,final,kWh
2022-05-18,173954472,47311800,35654016,13117416,1064661360,159225576,40089061,858467,final,kWh
2022-05-19,153871176,43944240,33048912,13083648,1060441800,161043696,43106061,1109897,final,kWh
2022-05-20,156461184,39635856,41828976,11840400,943568952,153815352,40718916,992222,final,kWh
2022-05-21,199333920,41393112,52771608,12008280,781338528,131115936,40936123,1015188,final,kWh
2022-05-22,226872504,44625216,56094624,12764976,835359336,130092120,47279856,965080,final,kWh
2022-05-23,221272032,47362344,55016976,14894016,1001096784,156043824,46313767,4109514,final,kWh
2022-05-24,247401768,46788384,60216792,14681112,1062639120,165684864,47017186,7914581,final,kWh
2022-05-25,266851992,46799160,63442056,13900368,952514520,152947104,47163068,6141790,final,kWh
