"Date","RH"
2020-03-29,69.288315
2020-03-30,65.00432
2020-03-31,60.49782
2020-04-01,58.80183
2020-04-02,59.03071
2020-04-03,63.353172
2020-04-04,59.68058
2020-04-05,48.859207
2020-04-06,45.035927
2020-04-07,56.27736
2020-04-08,50.142548
2020-04-09,55.849277
2020-04-10,57.684574
2020-04-11,52.33475
2020-04-12,49.397976
2020-04-13,56.757385
2020-04-14,56.189266
2020-04-15,54.21323
2020-04-16,53.217506
2020-04-17,57.13371
2020-04-18,57.184494
2020-04-19,56.68528
2020-04-20,46.228207
2020-04-21,44.677006
2020-04-22,45.203117
2020-04-23,47.605404
2020-04-24,51.21938
2020-04-25,57.899883
2020-04-26,55.860374
2020-04-27,53.656315
2020-04-28,68.55671
2020-04-29,79.40155
2020-04-30,77.46191
2020-05-01,76.94002
2020-05-02,79.826195
2020-05-03,71.436485
2020-05-04,74.99471
2020-05-05,65.03747
2020-05-06,56.35871
2020-05-07,56.173264
2020-05-08,52.160645
2020-05-09,58.048264
2020-05-10,69.13764
2020-05-11,75.094215
2020-05-12,65.34875
2020-05-13,68.38238
2020-05-14,65.51623
2020-05-15,62.928947
2020-05-16,59.834713
2020-05-17,58.245834
2020-05-18,58.60846
2020-05-19,61.573128
2020-05-20,66.43287
2020-05-21,57.99937
2020-05-22,62.346714
2020-05-23,75.38234
2020-05-24,72.51123
2020-05-25,74.145
2020-05-26,67.43715
2020-05-27,59.127888
2020-05-28,59.15979
2020-05-29,55.166786
2020-05-30,54.06597
2020-05-31,57.13504
2020-06-01,51.96676
2020-06-02,49.851883
2020-06-03,55.987206
2020-06-04,81.49578
2020-06-05,77.40252
2020-06-06,72.55635
2020-06-07,73.171906
2020-06-08,70.08419
2020-06-09,75.24436
2020-06-10,77.72829
2020-06-11,83.974884
2020-06-12,71.11821
2020-06-13,73.792015
2020-06-14,85.07435
2020-06-15,78.2995
2020-06-16,77.19204
2020-06-17,74.291725
2020-06-18,78.275536
2020-06-19,80.71678
2020-06-20,76.48153
2020-06-21,67.05458
2020-06-22,66.717606
2020-06-23,58.638058
2020-06-24,57.682316
2020-06-25,64.75783
2020-06-26,63.84449
2020-06-27,68.69844
2020-06-28,71.97605
2020-06-29,67.591286
2020-06-30,63.10785
2020-07-01,73.19445
2020-07-02,75.84653
2020-07-03,69.06246
2020-07-04,65.30169
2020-07-05,70.02308
2020-07-06,65.8687
2020-07-07,63.68401
2020-07-08,76.09456
2020-07-09,76.085594
2020-07-10,72.68195
2020-07-11,68.02448
2020-07-12,61.7734
2020-07-13,56.015728
2020-07-14,59.632046
2020-07-15,79.85795
2020-07-16,83.06229
2020-07-17,73.48997
2020-07-18,65.07751
2020-07-19,61.37647
2020-07-20,65.61644
2020-07-21,60.322136
2020-07-22,57.635952
2020-07-23,56.035492
2020-07-24,59.969208
2020-07-25,64.8785
2020-07-26,74.48129
2020-07-27,64.51845
2020-07-28,59.45687
2020-07-29,56.687527
2020-07-30,53.313007
2020-07-31,51.459267
2020-08-01,56.32401
2020-08-02,75.81841
2020-08-03,74.81039
2020-08-04,69.35706
2020-08-05,55.613552
2020-08-06,52.263695
2020-08-07,53.998116
2020-08-08,51.83186
2020-08-09,54.1317
2020-08-10,61.560432
2020-08-11,59.47794
2020-08-12,57.361687
2020-08-13,65.77797
2020-08-14,75.57379
2020-08-15,75.28423
2020-08-16,64.86945
2020-08-17,72.4081
2020-08-18,76.42093
2020-08-19,68.762085
2020-08-20,64.2885
2020-08-21,61.1647
2020-08-22,71.50314
2020-08-23,69.12104
2020-08-24,72.560036
2020-08-25,67.17556
2020-08-26,66.70205
2020-08-27,67.87358
2020-08-28,74.86285
2020-08-29,76.26025
2020-08-30,81.73006
2020-08-31,80.836876
2020-09-01,76.69478
2020-09-02,74.38471
2020-09-03,73.28681
2020-09-04,73.18475
2020-09-05,77.83294
2020-09-06,73.57011
2020-09-07,70.75667
2020-09-08,71.435814
2020-09-09,74.317894
2020-09-10,73.19882
2020-09-11,70.426796
2020-09-12,69.84817
2020-09-13,69.10897
2020-09-14,65.536995
2020-09-15,64.89632
2020-09-16,68.73181
2020-09-17,65.8036
2020-09-18,59.96707
2020-09-19,57.985226
2020-09-20,61.743294
2020-09-21,64.98519
2020-09-22,67.12457
2020-09-23,70.22024
2020-09-24,69.51264
2020-09-25,80.512245
2020-09-26,87.99755
2020-09-27,84.78428
2020-09-28,81.81502
2020-09-29,85.31481
2020-09-30,85.93464
2020-10-01,84.64691
2020-10-02,80.96048
2020-10-03,81.74733
2020-10-04,72.942566
2020-10-05,79.61953
2020-10-06,84.514786
2020-10-07,85.95092
2020-10-08,85.09296
2020-10-09,85.177635
2020-10-10,82.892654
2020-10-11,84.294685
2020-10-12,88.11027
2020-10-13,85.84305
2020-10-14,86.85696
2020-10-15,88.45075
2020-10-16,86.8175
2020-10-17,87.98347
2020-10-18,85.09132
2020-10-19,82.92344
2020-10-20,81.47355
2020-10-21,77.00502
2020-10-22,76.72676
2020-10-23,91.233734
2020-10-24,85.42447
2020-10-25,81.73279
2020-10-26,88.84045
2020-10-27,81.46902
2020-10-28,81.964615
2020-10-29,84.96257
2020-10-30,91.30909
2020-10-31,87.83576
2020-11-01,88.93178
2020-11-02,81.4903
2020-11-03,78.72181
2020-11-04,82.66521
2020-11-05,85.797935
2020-11-06,86.20931
2020-11-07,82.70141
2020-11-08,86.241135
2020-11-09,90.9224
2020-11-10,93.75877
2020-11-11,93.68198
2020-11-12,89.18892
2020-11-13,88.2905
2020-11-14,85.783394
2020-11-15,79.474686
2020-11-16,83.48358
2020-11-17,86.6146
2020-11-18,81.962166
2020-11-19,79.60779
2020-11-20,85.59286
2020-11-21,84.33463
2020-11-22,84.06145
2020-11-23,86.63886
2020-11-24,90.76958
2020-11-25,90.53019
2020-11-26,91.98131
2020-11-27,92.86392
2020-11-28,90.41904
2020-11-29,85.04107
2020-11-30,84.224655
2020-12-01,91.98075
2020-12-02,89.6687
2020-12-03,85.10262
2020-12-04,81.661476
2020-12-05,88.29055
2020-12-06,92.519485
2020-12-07,89.303734
2020-12-08,88.77256
2020-12-09,93.664856
2020-12-10,93.462265
2020-12-11,89.06878
2020-12-12,92.18143
2020-12-13,94.39379
2020-12-14,87.95162
2020-12-15,89.98271
2020-12-16,93.32061
2020-12-17,89.83147
2020-12-18,90.79134
2020-12-19,88.1499
2020-12-20,88.748276
2020-12-21,91.66873
2020-12-22,91.16017
2020-12-23,92.5749
2020-12-24,88.37601
2020-12-25,86.65075
2020-12-26,85.53391
2020-12-27,75.499
2020-12-28,84.4407
2020-12-29,88.57072
2020-12-30,87.485275
2020-12-31,86.89421
2021-01-01,91.87549
2021-01-02,90.72567
2021-01-03,90.31535
2021-01-04,91.40561
2021-01-05,91.95067
2021-01-06,93.053825
2021-01-07,91.112755
2021-01-08,91.51506
2021-01-09,90.529
2021-01-10,88.733864
2021-01-11,86.07372
2021-01-12,89.03726
2021-01-13,85.75609
2021-01-14,85.52944
